artist_name,artist_nationality,artist_birth_year,artist_death_year,auction_house,auction_sale_id,auction_department,auction_location,auction_date,auction_currency,exchange_rate_to_usd,auction_lot_count,lot_id,lot_place_in_auction,lot_description,lot_link,work_title,work_medium,work_execution_year,work_dimensions,work_height,work_width,work_depth,work_measurement_unit,hammer_price,buyers_premium,estimate_low,estimate_high
Andy Warhol,American,1928,1987,Sothebys,PF1835,Post-War & Contemporary,Paris,2018-12-06T13:30:00.913000,EUR,1.137,130,116,16,"
                        stamped by The Estate of Andy Warhol and The Andy Warhol Authentication Board and numbered <em>PO50.735</em> on the&nbsp;overlap<br>acrylic and silkscreen ink on canvas<br>101,6 x 101,6 cm; 40 x 40 in.<br>Executed in 1981.<br>",http://www.sothebys.com/en/auctions/ecatalogue/2018/art-contemporain-day-sale-pf1835/lot.116.html,Paul Delvaux,print,1981,"40 x 40 in (101,6 x 101,6 cm)",101,6,101.6,cm,-1,0,70000,100000
Andy Warhol,American,1928,1987,Phillips,UK010818,Post-War & Contemporary,London,2018-12-06T00:00:00,GBP,1.29890900782544,255,203,203,"{'medium': 'silver gelatin print', 'dimensions': '17.1 x 22.5 cm (6 3/4 x 8 7/8 in.)'}",https://www.phillips.com/detail/ANDY-WARHOL/UK010818/203,Untitled,photograph,-1,17.1 x 22.5 cm (6 3/4 x 8 7/8 in.),17.1,22.5,-1,cm,-1,1,2000,3000
Andy Warhol,American,1928,1987,Sothebys,PF1815,Decorative Arts,Paris,2018-12-05T18:00:00.124000,EUR,1.137,33,32,32,"
                        signed and dated on the overlap<br>acrylic and silkscreen ink on canvas<br>101,5 x 101,5 cm; 40 x 40 in.<br>Executed early 1977.<br>",http://www.sothebys.com/en/auctions/ecatalogue/2018/art-contemporain-eve-sale-pf1815/lot.32.html,Mark Leibovitz,print,1977,"40 x 40 in (101,5 x 101,5 cm)",101,5,101.5,cm,-1,0,100000,150000
Andy Warhol,American,1928,1987,Christies,16522,Post-War & Contemporary,Paris,2018-12-05T00:00:00,EUR,1.137,226,201,101,"ANDY WARHOL (1928-1987)
Monkey
signé et daté ‘Andy Warhol 83’ (sur le revers)
acrylique et encre sérigraphique sur toile
35.5 x 28 cm.
Réalisé en 1983.

signed and dated 'Andy Warhol 83' (on the overlap)
acrylic and silkscreen ink on canvas
 14 x 11 in.
Executed in 1983.",https://www.christies.com/lotfinder/paintings/andy-warhol-monkey-6184913-details.aspx,Monkey,print,1983,14 x 11 in (35.5 x 28 cm.),35.5,28,-1,cm,-1,0,80000,120000
Andy Warhol,American,1928,1987,Christies,16522,Post-War & Contemporary,Paris,2018-12-05T00:00:00,EUR,1.137,226,202,102,"ANDY WARHOL (1928-1987)
Roll over mouse
signé et daté ‘Andy Warhol 83’ (sur le revers)
acrylique et encre sérigraphique sur toile
28 x 35.5
Réalisé en 1983.

signed and dated 'Andy Warhol 83' (on the overlap)
acrylic and silkscreen ink on canvas
 11 x 14 in.
Executed in 1983.",https://www.christies.com/lotfinder/paintings/andy-warhol-roll-over-mouse-6184914-details.aspx,Roll Over Mouse,print,1983,11 x 14 in,-1,-1,-1,in,-1,0,80000,120000
Andy Warhol,American,1928,1987,Phillips,HK010418,Post-War & Contemporary,Hong Kong,2018-11-26T00:00:00,HKD,0.127685379630981,121,24,24,"{'medium': 'screenprint with diamond dust', 'dimensions': '151 x 102 cm. (59 1/2 x 40 1/8 in.)'}",https://www.phillips.com/detail/ANDY-WARHOL/HK010418/24,Shoes,print,-1,151 x 102 cm. (59 1/2 x 40 1/8 in.),151,102,-1,cm,-1,1000001,700000,900000
Andy Warhol,American,1928,1987,Sothebys,L18027,Post-War & Contemporary,London,2018-11-20T10:00:00.213000,GBP,1.29890900782544,172,11,11,"
                        stamped by the <em>Estate of Andy Warhol</em>&nbsp;and the<em> Andy Warhol Foundation</em>&nbsp;twice, and numbered <em>VF PA22.021 </em>on the overlap<br>acrylic and silkscreen ink on canvas<br>102 by 102 cm.   40 1/8  by 40 1/8  in.<br>Executed in 1984.<br>",http://www.sothebys.com/en/auctions/ecatalogue/2018/contemporary-curated-l18027/lot.11.html,La Grande Passion With Flowers,print,1984,40 1/8  by 40 1/8  in (102 by 102 cm),102,102,-1,cm,95000,23750,50000,70000
Andy Warhol,American,1928,1987,Christies,15975,Post-War & Contemporary,New York,2018-11-16T00:00:00,USD,1,169,740,133,"Andy Warhol (1928-1987)
VIP Ticket - Studio 54
stamped with the Estate of Andy Warhol and the Andy Warhol Foundation for the Visual Arts, Inc. stamps and numbered 'VF PA88.008' (on the reverse)
synthetic polymer and silkscreen ink on canvas
26 x 14 1/8 in. (66 x 35.9 cm.)
Painted in 1976.",https://www.christies.com/lotfinder/paintings/andy-warhol-vip-ticket-studio-54-6173033-details.aspx,Vip Ticket - Studio 54,print,1976,26 x 14 1/8 in (66 x 35.9 cm),66,35.9,-1,cm,65000,16250,70000,90000
Andy Warhol,American,1928,1987,Christies,15975,Post-War & Contemporary,New York,2018-11-16T00:00:00,USD,1,169,715,112,"Andy Warhol (1928-1987)
Heart Shaped Candy Box (True Love)
signed, inscribed, dedicated and dated 'TO LIZA H.B. March 12 Andy Warhol 84' (on the overlap)
synthetic polymer and silkscreen ink on canvas
10 1/8 x 8 in. (25.7 x 20.3 cm.)
Painted in 1984.",https://www.christies.com/lotfinder/paintings/andy-warhol-heart-shaped-candy-box-6173008-details.aspx,Heart Shaped Candy Box (True Love),print,1984,10 1/8 x 8 in (25.7 x 20.3 cm),25.7,20.3,-1,cm,250000,62500,100000,150000
Andy Warhol,American,1928,1987,Christies,15975,Post-War & Contemporary,New York,2018-11-16T00:00:00,USD,1,169,713,110,"Andy Warhol (1928-1987)
Flowers
signed and dated 'ANDY WARHOL 64' (on the overlap)
synthetic polymer and silkscreen ink on canvas
5 x 5 in. (12.7 x 12.7 cm.)
Painted in 1964.",https://www.christies.com/lotfinder/paintings/andy-warhol-flowers-6173006-details.aspx,Flowers,print,1964,5 x 5 in (12.7 x 12.7 cm),12.7,12.7,-1,cm,210000,52500,150000,200000
